ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,L_meas__db,L_fs__db,L_excess__db,Cnt,Sigma__db
11137,39.992310756,-105.2731667,40.016684,-105.280503,19.2,2.82,3475,2.77783202459671,118.382938,112.143215786998,6.23972221300168,1,0
11138,39.992310756,-105.2731667,40.016685,-105.280498,19.2,2.82,3475,2.77784395302777,118.418381,112.143253085443,6.2751279145573,1,0
11139,39.992310756,-105.2731667,40.016686,-105.280494,19.2,2.82,3475,2.77787518235828,118.44139,112.143350734194,6.29803926580591,1,0
11140,39.992310756,-105.2731667,40.016687,-105.280489,19.2,2.82,3475,2.77788723759992,118.473213,112.14338842857,6.32982457143005,1,0
11141,39.992310756,-105.2731667,40.016688,-105.280484,19.2,2.82,3475,2.77789936284886,118.510174,112.14342634168,6.36674765832011,1,0
11142,39.992310756,-105.2731667,40.016689,-105.28048,19.2,2.82,3475,2.77793075185665,118.544686,112.143524487754,6.40116151224582,1,0
11143,39.992310756,-105.2731667,40.01669,-105.280475,19.2,2.82,3475,2.77794300390628,118.562201,112.143562796742,6.41863820325769,1,0
11144,39.992310756,-105.2731667,40.016691,-105.280471,19.2,2.82,3475,2.7779744957909,118.569278,112.14366126294,6.42561673706041,1,0
11145,39.992310756,-105.2731667,40.016692,-105.280466,19.2,2.82,3475,2.77798687463661,118.532545,112.143699967776,6.38884503222408,1,0
11146,39.992310756,-105.2731667,40.016693,-105.280461,19.2,2.82,3475,2.77799932348185,118.490249,112.143738891305,6.34651010869477,1,0
11147,39.992310756,-105.2731667,40.016694,-105.280457,19.2,2.82,3475,2.77803097502608,118.471023,112.143837854704,6.32718514529633,1,0
11148,39.992310756,-105.2731667,40.016695,-105.280452,19.2,2.82,3475,2.7780435506607,118.480542,112.143877174037,6.33666482596253,1,0
11149,39.992310756,-105.2731667,40.016696,-105.280447,19.2,2.82,3475,2.77805619629271,118.496492,112.143916712048,6.3525752879524,1,0
11150,39.992310756,-105.2731667,40.016697,-105.280443,19.2,2.82,3475,2.77808800748385,118.508536,112.144016172567,6.36451982743253,1,0
11151,39.992310756,-105.2731667,40.016698,-105.280438,19.2,2.82,3475,2.77810077989711,118.492876,112.144056106334,6.34881989366632,1,0
11152,39.992310756,-105.2731667,40.016699,-105.280433,19.2,2.82,3475,2.77811362230495,118.477845,112.144096258757,6.33374874124273,1,0
11153,39.992310756,-105.2731667,40.0167,-105.280429,19.2,2.82,3475,2.7781455931292,118.457461,112.144196216315,6.31326478368482,1,0
