ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,d_3d__km,L_meas__db,L_fs__db,L_excess__db
510,39.991772,-105.274513,39.99154811,-105.25213,18,3,3500,1.911763211,1.918055767,131.8625845,108.9885855,22.87399901
511,39.991772,-105.274513,39.99163312,-105.2521298,18,3,3500,1.911683258,1.917988473,130.775032,108.9882807,21.78675126
512,39.991772,-105.274513,39.99171713,-105.2521295,18,3,3500,1.911650032,1.91796762,131.9606942,108.9881863,22.9725079
513,39.991772,-105.274513,39.99179713,-105.2521293,18,3,3500,1.911660702,1.91799746,129.5394891,108.9883214,20.55116766
514,39.991772,-105.274513,39.99187314,-105.2521291,18,3,3500,1.911709075,1.918054222,129.5123229,108.9885785,20.52374441
515,39.991772,-105.274513,39.99194215,-105.2521274,18,3,3500,1.911910693,1.918265861,132.3130188,108.9895368,23.32348196
516,39.991772,-105.274513,39.99199709,-105.252125,18,3,3500,1.912183922,1.918546681,130.2817446,108.9908083,21.2909363
517,39.991772,-105.274513,39.9920371,-105.2521233,18,3,3500,1.912395143,1.918765664,130.2587159,108.9917997,21.26691625
518,39.991772,-105.274513,39.99206218,-105.2521222,18,3,3500,1.912532814,1.918907706,133.2353641,108.9924426,24.24292148
519,39.991772,-105.274513,39.99208254,-105.2521213,18,3,3500,1.912647499,1.919024681,130.7869808,108.9929721,21.7940087
520,39.991772,-105.274513,39.99213908,-105.2520356,18,3,3500,1.920093308,1.92645269,131.1677859,109.0265278,22.14125805
521,39.991772,-105.274513,39.99213151,-105.2520042,18,3,3500,1.92275172,1.929101904,129.9613355,109.0384643,20.92287117
522,39.991772,-105.274513,39.99211974,-105.2519555,18,3,3500,1.926886946,1.933222921,127.950477,109.0569996,18.8934774
523,39.991772,-105.274513,39.99210367,-105.2518889,18,3,3500,1.932533395,1.938847564,127.30707,109.0822342,18.22483581
524,39.991772,-105.274513,39.99208629,-105.251817,18,3,3500,1.938640978,1.944931408,132.0755487,109.1094467,22.96610202
525,39.991772,-105.274513,39.99206465,-105.2517274,18,3,3500,1.946248148,1.952511353,131.9263896,109.1432322,22.78315736
526,39.991772,-105.274513,39.99201824,-105.2515353,18,3,3500,1.962574895,1.968784778,129.8137788,109.2153257,20.59845306
527,39.991772,-105.274513,39.99199524,-105.2514401,18,3,3500,1.970674519,1.976864011,130.9639526,109.2508968,21.71305581
528,39.991772,-105.274513,39.99197422,-105.2513531,18,3,3500,1.9780762,1.984243119,133.8026062,109.2832585,24.51934766
529,39.991772,-105.274513,39.991956,-105.2512777,18,3,3500,1.984494827,1.99064328,132.4099711,109.3112297,23.09874137
530,39.991772,-105.274513,39.99191998,-105.251199,18,3,3500,1.991175595,1.997299505,134.7875377,109.3402248,25.44731293
531,39.991772,-105.274513,39.99186802,-105.2511991,18,3,3500,1.991132929,1.997256208,134.9049192,109.3400365,25.56488272
532,39.991772,-105.274513,39.99181003,-105.2511991,18,3,3500,1.991105058,1.997220014,132.8105035,109.3398791,23.47062443
533,39.991772,-105.274513,39.99174503,-105.2511992,18,3,3500,1.991098565,1.997199552,132.2952448,109.3397901,22.95545471
534,39.991772,-105.274513,39.99167503,-105.2511992,18,3,3500,1.991120832,1.997204877,133.9664655,109.3398132,24.62665225
535,39.991772,-105.274513,39.99151803,-105.2511994,18,3,3500,1.991281103,1.997333835,133.7325935,109.3403741,24.39221943
536,39.991772,-105.274513,39.99143203,-105.2511995,18,3,3500,1.991433578,1.997467393,132.6485902,109.3409549,23.30763534
537,39.991772,-105.274513,39.99134203,-105.2511996,18,3,3500,1.991642159,1.99765758,126.0412149,109.3417818,16.69943306
538,39.991772,-105.274513,39.99116003,-105.2511997,18,3,3500,1.992217056,1.998194573,134.5512291,109.3441164,25.20711271
539,39.991772,-105.274513,39.99107303,-105.2511998,18,3,3500,1.992564218,1.998523763,136.3923489,109.3455472,27.04680168
540,39.991772,-105.274513,39.99099003,-105.2511999,18,3,3500,1.992939015,1.998884521,132.8453417,109.347115,23.49822672
541,39.991772,-105.274513,39.99090803,-105.2512,18,3,3500,1.99335107,1.999284574,135.2921754,109.3488532,25.94332221
542,39.991772,-105.274513,39.99082803,-105.2512,18,3,3500,1.993793054,1.99971257,136.6036918,109.3507124,27.25297938
543,39.991772,-105.274513,39.99075003,-105.2512001,18,3,3500,1.994261988,2.00016999,136.9983467,109.352699,27.64564767
544,39.991772,-105.274513,39.99067003,-105.2512002,18,3,3500,1.994781892,2.000676177,138.129137,109.3548969,28.7742401
545,39.991772,-105.274513,39.99059003,-105.2512003,18,3,3500,1.995341205,2.001223068,137.0077781,109.3572709,27.65050721
546,39.991772,-105.274513,39.99051203,-105.2512003,18,3,3500,1.995924432,2.001788985,134.0167724,109.3597268,24.65704561
547,39.991772,-105.274513,39.99043303,-105.2512004,18,3,3500,1.996553271,2.002407274,131.9580695,109.3624092,22.59566033
548,39.991772,-105.274513,39.99035703,-105.2512005,18,3,3500,1.997194402,2.003037515,136.8907525,109.3651426,27.52560995
549,39.991772,-105.274513,39.99027803,-105.2512006,18,3,3500,1.997898404,2.003727131,136.3013224,109.3681325,26.93318994
550,39.991772,-105.274513,39.99020303,-105.2512006,18,3,3500,1.998602155,2.004417257,135.9931762,109.3711236,26.62205265
551,39.991772,-105.274513,39.99012803,-105.2512007,18,3,3500,1.999340344,2.00514405,136.1238079,109.3742724,26.74953546
552,39.991772,-105.274513,39.99005803,-105.2512008,18,3,3500,2.000060377,2.005850401,133.4335926,109.3773317,24.05626092
553,39.991772,-105.274513,39.98999502,-105.2512008,18,3,3500,2.000734016,2.006513842,129.1743655,109.3802041,19.79416141
554,39.991772,-105.274513,39.98990301,-105.2512009,18,3,3500,2.001761344,2.007524075,134.5752466,109.3845761,25.19067047
555,39.991772,-105.274513,39.989877,-105.2512009,18,3,3500,2.002061088,2.00781971,127.9740972,109.3858552,18.58824205
556,39.991772,-105.274513,39.98985199,-105.251201,18,3,3500,2.002353236,2.008105961,129.0290234,109.3870934,19.64193
557,39.991772,-105.274513,39.98980572,-105.2512378,18,3,3500,1.999776746,2.005536675,118.2211583,109.3759731,8.845185249
558,39.991772,-105.274513,39.98980539,-105.251282,18,3,3500,1.996034196,2.001805814,119.1519824,109.3597998,9.792182586
559,39.991772,-105.274513,39.98980496,-105.25134,18,3,3500,1.991109713,1.996901138,124.5702905,109.3384922,15.23179833
560,39.991772,-105.274513,39.98980446,-105.2514071,18,3,3500,1.985426739,1.991236604,130.0030196,109.3138182,20.68920137
561,39.991772,-105.274513,39.98980392,-105.2514781,18,3,3500,1.97940549,1.98523574,123.5614523,109.2876026,14.27384971
562,39.991772,-105.274513,39.98980335,-105.2515551,18,3,3500,1.972877085,1.978726385,124.383082,109.2590758,15.12400622
563,39.991772,-105.274513,39.98980277,-105.2516321,18,3,3500,1.966348997,1.972220917,121.6883655,109.2304721,12.4578934
564,39.991772,-105.274513,39.9898022,-105.2517081,18,3,3500,1.959906005,1.965796649,124.4292194,109.2021327,15.2270867
565,39.991772,-105.274513,39.98980166,-105.25178,18,3,3500,1.95380241,1.959713952,123.1572523,109.1752146,13.98203772
566,39.991772,-105.274513,39.98980117,-105.251845,18,3,3500,1.948292465,1.954222459,121.6121149,109.1508409,12.46127401
567,39.991772,-105.274513,39.98980072,-105.251905,18,3,3500,1.943206571,1.949156835,125.6793756,109.1282966,16.55107901
568,39.991772,-105.274513,39.98980033,-105.251958,18,3,3500,1.9387142,1.944681288,124.6422649,109.1083296,15.53393531
569,39.991772,-105.274513,39.98979958,-105.2520579,18,3,3500,1.93025307,1.936253139,129.9350767,109.0706036,20.86447311
570,39.991772,-105.274513,39.98985212,-105.2521348,18,3,3500,1.923064437,1.929094799,130.6795176,109.0384323,21.64108531
571,39.991772,-105.274513,39.98989807,-105.2521347,18,3,3500,1.922516019,1.928554575,130.8099289,109.0359995,21.77392935
572,39.991772,-105.274513,39.98995706,-105.2521345,18,3,3500,1.921831602,1.927876553,130.9551685,109.0329453,21.92222319
